City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Country,Current Description
310,Debre Tabor,11.85,38.0167,49.93,93,100,1.61,ET,light rain
311,Yishui,35.7847,118.6281,81.25,87,95,1.59,CN,overcast clouds
312,Boa Vista,2.8197,-60.6733,80.58,74,0,2.3,BR,clear sky
313,Ulaanbaatar,47.9077,106.8832,68.13,42,40,4.47,MN,scattered clouds
314,Lakes Entrance,-37.8811,147.981,53.17,76,100,9.8,AU,overcast clouds
315,Pacific Grove,36.6177,-121.9166,73.24,80,75,8.05,US,broken clouds
316,Pitkyaranta,61.5734,31.4792,57.36,83,92,6.24,RU,overcast clouds
317,Arrecife,28.963,-13.5477,69.78,78,40,11.5,ES,scattered clouds
318,Vila,42.0304,-8.1588,81.48,34,63,4.79,PT,broken clouds
319,Tabory,58.5198,64.5495,71.8,73,12,4.16,RU,few clouds
320,Teguldet,57.3064,88.1667,56.77,62,100,3.2,RU,overcast clouds
321,Cairns,-16.9167,145.7667,72.1,43,8,13.8,AU,clear sky
322,Pangnirtung,66.1451,-65.7125,45.97,85,84,2.71,CA,broken clouds
323,Cap Malheureux,-19.9842,57.6142,66.47,85,99,8.99,MU,overcast clouds
324,La Concordia,13.1953,-86.1667,67.26,97,90,5.1,NI,overcast clouds
325,Souillac,-20.5167,57.5167,68.38,83,75,12.66,MU,light intensity shower rain
326,San Rafael,-34.6177,-68.3301,43.74,47,2,4.23,AR,clear sky
327,Ilulissat,69.2167,-51.1,36.81,92,65,3.67,GL,broken clouds
328,Saint-Pierre,-21.3393,55.4781,65.88,81,75,8.05,RE,broken clouds
329,Huarmey,-10.0681,-78.1522,61.75,84,93,11.16,PE,overcast clouds
330,Nizwa,22.9333,57.5333,87.82,56,100,3.58,OM,overcast clouds
331,Windsor,42.3001,-83.0165,70.92,87,0,5.75,CA,clear sky
332,Artsyz,45.9919,29.4182,62.74,50,6,10.71,UA,clear sky
333,Novaya Ladoga,60.1025,32.3019,59.92,78,73,6.38,RU,broken clouds
334,Nenjiang,49.1833,125.2167,75.94,70,100,12.97,CN,overcast clouds
335,Laguna,38.421,-121.4238,94.95,34,0,11.5,US,clear sky
336,Nalut,30.3333,10.85,76.06,32,0,14.79,LY,clear sky
337,Kortkeros,61.8106,51.5806,69.8,84,96,5.99,RU,overcast clouds
338,Tyrma,50.0833,132.1667,77.07,63,92,7.31,RU,overcast clouds
339,Mudon,16.2578,97.7164,74.86,98,100,6.53,MM,moderate rain
340,Harper,4.375,-7.7169,75.67,80,95,7.74,LR,overcast clouds
341,Puerto Escondido,15.85,-97.0667,80.29,82,95,1.83,MX,overcast clouds
342,Siverek,37.755,39.3167,77.5,32,0,8.28,TR,clear sky
343,Kalanguy,51.0167,116.5167,70.02,63,99,9.04,RU,overcast clouds
